confirmed_tissue	manual_assign	Run	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center.Name	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample.Name	SRA.Study	Cultivar	Tissue	Library.Name	geo_loc_name_country	geo_loc_name_country_continent	BioSampleModel	geo_loc_name	dev_stage	GEO_Accession..exp.	source_name	treatment	AGE	Replicate	Sample_Name	Collection_Date	ENA.FIRST.PUBLIC..run.	ENA.LAST.UPDATE..run.	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	INSDC_center_alias	collected_by	Ecotype	Isolate	Time_point	Genotype	Alias	ENA_checklist	Biomaterial_provider	SAMPLE_TYPE	geographic_location_.country_and.or_sea.	geographic_location_.latitude.	geographic_location_.longitude.	ENA.FIRST.PUBLIC	ENA.LAST.UPDATE	External_Id	Submitter_Id	common_name	year	Developmental_Stage	environment_.biome.	environment_.feature.	environment_.material.	Investigation_type	plant.associated_environmental_package	project_name	Sequencing_method	PHENOTYPE	sex	Temp	day_after_veraison	time_point_replicate	Isolation_source	lat_lon	disease	Stage	growth_protocol	growth_stage	culture_collection	Specimen_voucher	disease_stage	Cell_Line	Cell_type	Biological.Replicate	Population	vineyard	height_or_length	infection	inoculation	Clone	Crop	Description	tissue_type	Biorep	Experiment.1	tissue_position	resistant_to_powdery_mildew	TimePoint	disk	Rep_Number	treatment_description	geographic_location_.region_and_locality.	Strain	sub_species	geographical_area	Broker_name	culture_rooting_medium	isolation_and_growth_condition	organism_common_name	organism_part	plant_developmental_stage	plant_growth_medium	plant_structure	propagation	rooting_medium_macronutrients	subspecific_genetic_lineage_name	subspecific_genetic_lineage_rank	air_temperature_regimen	infect	light_regimen	rooting_conditions	rooting_medium_micronutrients	sample_health_state	BREED	ripening_stage	status	collection_timepoint	day_temp	night_temp	Sampling_Time	Biological_Replicates	dev.stage	organism	rootstock	AssemblyName	Sample_ID	Biological_Reprlicates	geo.loc.name	Organ	Development_stage	sample_disease_status	enviromental_conditions
leaf	auto	SRR493744	RNA-Seq	78	1990817946	PRJNA163649	SAMN00990787	863231482	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX145811	Illumina Genome Analyzer IIx	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2012-05-21T00:00:00Z	GSM926671	SRP012647	Pinot Noir	leaf discs	GSM926671: UV-C treated 48h						GSM926671	V. vinifera leaf tissues	UV-C																																																																																																																		
leaf	auto	SRR493745	RNA-Seq	78	1425499764	PRJNA163649	SAMN00990788	677527082	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX145812	Illumina Genome Analyzer IIx	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2012-05-21T00:00:00Z	GSM926672	SRP012647	Pinot Noir	leaf discs	GSM926672: Downy infected 24h						GSM926672	V. vinifera leaf tissues																																																													P. viticola																																																						
leaf	auto	SRR493746	RNA-Seq	78	1272511266	PRJNA163649	SAMN00990789	635203541	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX145813	Illumina Genome Analyzer IIx	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2012-05-21T00:00:00Z	GSM926673	SRP012647	Pinot Noir	leaf discs	GSM926673: Downy infected 48h						GSM926673	V. vinifera leaf tissues																																																													P. viticola																																																						
leaf	auto	SRR12791836	RNA-Seq	302	8622359418	PRJNA668027	SAMN16393484	2576305662	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260983	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_R2-21-6h_1	SRP286709	Rose honey	leaf	E1	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 1												Xiaoxia Pan	mising	6h of R2-21group																																																																																																		
leaf	auto	SRR12791837	RNA-Seq	302	7441568410	PRJNA668027	SAMN16393483	2242061411	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260982	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_Con-15d_3	SRP286709	Rose honey	leaf	D9	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 3												Xiaoxia Pan	mising	15d of contol group																																																																																																		
leaf	auto	SRR12791838	RNA-Seq	302	7982590236	PRJNA668027	SAMN16393482	2400291188	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260981	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_Con-15d_2	SRP286709	Rose honey	leaf	D8	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 2												Xiaoxia Pan	mising	15d of contol group																																																																																																		
leaf	auto	SRR12791839	RNA-Seq	302	8257096760	PRJNA668027	SAMN16393481	2466441226	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260980	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_Con-15d_1	SRP286709	Rose honey	leaf	D7	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 1												Xiaoxia Pan	mising	15d of contol group																																																																																																		
leaf	auto	SRR12791840	RNA-Seq	302	7999410428	PRJNA668027	SAMN16393480	2394840043	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260979	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_Con-6d_3	SRP286709	Rose honey	leaf	D6	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 3												Xiaoxia Pan	mising	6d of contol group																																																																																																		
leaf	auto	SRR12791841	RNA-Seq	302	7777937520	PRJNA668027	SAMN16393479	2392793376	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260978	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_Con-6d_2	SRP286709	Rose honey	leaf	D5	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 2												Xiaoxia Pan	mising	6d of contol group																																																																																																		
leaf	auto	SRR12791842	RNA-Seq	302	8710243532	PRJNA668027	SAMN16393478	2604961835	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260977	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_Con-6d_1	SRP286709	Rose honey	leaf	D4	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 1												Xiaoxia Pan	mising	6d of contol group																																																																																																		
leaf	auto	SRR12791843	RNA-Seq	302	8676220514	PRJNA668027	SAMN16393501	2613672132	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260976	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_XHYN2-15d_3	SRP286709	Rose honey	leaf	F9	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 3												Xiaoxia Pan	mising	15d of XHYN2 group																																																																																																		
leaf	auto	SRR12791844	RNA-Seq	302	8870690394	PRJNA668027	SAMN16393500	2650491783	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260975	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_XHYN2-15d_2	SRP286709	Rose honey	leaf	F8	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 2												Xiaoxia Pan	mising	15d of XHYN2 group																																																																																																		
leaf	auto	SRR12791845	RNA-Seq	302	8003858284	PRJNA668027	SAMN16393499	2393683000	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260974	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_XHYN2-15d_1	SRP286709	Rose honey	leaf	F7	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 1												Xiaoxia Pan	mising	15d of XHYN2 group																																																																																																		
leaf	auto	SRR12791846	RNA-Seq	302	7652131870	PRJNA668027	SAMN16393498	2289670595	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260973	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_XHYN2-6d_3	SRP286709	Rose honey	leaf	F6	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 3												Xiaoxia Pan	mising	6d of XHYN2 group																																																																																																		
leaf	auto	SRR12791847	RNA-Seq	302	8712067612	PRJNA668027	SAMN16393497	2606621417	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260972	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_XHYN2-6d_2	SRP286709	Rose honey	leaf	F5	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 2												Xiaoxia Pan	mising	6d of XHYN2 group																																																																																																		
leaf	auto	SRR12791848	RNA-Seq	302	7817327682	PRJNA668027	SAMN16393496	2338236392	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260971	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_XHYN2-6d_1	SRP286709	Rose honey	leaf	F4	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 1												Xiaoxia Pan	mising	6d of XHYN2 group																																																																																																		
leaf	auto	SRR12791849	RNA-Seq	302	7896395812	PRJNA668027	SAMN16393495	2369072948	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260970	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_XHYN2-6h_3	SRP286709	Rose honey	leaf	F3	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 3												Xiaoxia Pan	mising	6h of XHYN2 group																																																																																																		
leaf	auto	SRR12791850	RNA-Seq	302	9100772718	PRJNA668027	SAMN16393477	2741758790	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260969	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_Con-6h_3	SRP286709	Rose honey	leaf	D3	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 3												Xiaoxia Pan	mising	6h of contol group																																																																																																		
leaf	auto	SRR12791851	RNA-Seq	302	8080639066	PRJNA668027	SAMN16393494	2417403340	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260968	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_XHYN2-6h_2	SRP286709	Rose honey	leaf	F2	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 2												Xiaoxia Pan	mising	6h of XHYN2 group																																																																																																		
leaf	auto	SRR12791852	RNA-Seq	302	7419799344	PRJNA668027	SAMN16393493	2227925066	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260967	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_XHYN2-6h_1	SRP286709	Rose honey	leaf	F1	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 1												Xiaoxia Pan	mising	6h of XHYN2 group																																																																																																		
leaf	auto	SRR12791853	RNA-Seq	302	8313057964	PRJNA668027	SAMN16393492	2502597782	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260966	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_R2-21-15d_3	SRP286709	Rose honey	leaf	E9	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 3												Xiaoxia Pan	mising	15d of R2-21group																																																																																																		
leaf	auto	SRR12791854	RNA-Seq	302	8184143828	PRJNA668027	SAMN16393491	2461619860	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260965	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_R2-21-15d_2	SRP286709	Rose honey	leaf	E8	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 2												Xiaoxia Pan	mising	15d of R2-21group																																																																																																		
leaf	auto	SRR12791855	RNA-Seq	302	8388261098	PRJNA668027	SAMN16393490	2522444226	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260964	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_R2-21-15d_1	SRP286709	Rose honey	leaf	E7	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 1												Xiaoxia Pan	mising	15d of R2-21group																																																																																																		
leaf	auto	SRR12791856	RNA-Seq	302	8984814684	PRJNA668027	SAMN16393489	2695442893	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260963	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_R2-21-6d_3	SRP286709	Rose honey	leaf	E6	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 3												Xiaoxia Pan	mising	6d of R2-21group																																																																																																		
leaf	auto	SRR12791857	RNA-Seq	302	8139061872	PRJNA668027	SAMN16393488	2435831359	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260962	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_R2-21-6d_2	SRP286709	Rose honey	leaf	E5	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 2												Xiaoxia Pan	mising	6d of R2-21group																																																																																																		
leaf	auto	SRR12791858	RNA-Seq	302	8818410872	PRJNA668027	SAMN16393487	2633818358	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260961	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_R2-21-6d_1	SRP286709	Rose honey	leaf	E4	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 1												Xiaoxia Pan	mising	6d of R2-21group																																																																																																		
leaf	auto	SRR12791859	RNA-Seq	302	8490282134	PRJNA668027	SAMN16393486	2547354294	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260960	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_R2-21-6h_3	SRP286709	Rose honey	leaf	E3	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 3												Xiaoxia Pan	mising	6h of R2-21group																																																																																																		
leaf	auto	SRR12791860	RNA-Seq	302	7957838618	PRJNA668027	SAMN16393485	2386673066	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260959	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_R2-21-6h_2	SRP286709	Rose honey	leaf	E2	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 2												Xiaoxia Pan	mising	6h of R2-21group																																																																																																		
leaf	auto	SRR12791861	RNA-Seq	302	8341681222	PRJNA668027	SAMN16393476	2499736505	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260958	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_Con-6h_2	SRP286709	Rose honey	leaf	D2	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 2												Xiaoxia Pan	mising	6h of contol group																																																																																																		
leaf	auto	SRR12791862	RNA-Seq	302	8181804536	PRJNA668027	SAMN16393475	2435326892	YUNNAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9260957	Illumina HiSeq 4000	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2020-11-01T00:00:00Z	RH_Con-6h_1	SRP286709	Rose honey	leaf	D1	China	Asia	Plant	China:Yunnan	not applicable				not applicable	replicate = biological replicate 1												Xiaoxia Pan	mising	6h of contol group																																																																																																		
leaf	auto	SRR8786882	RNA-Seq	75	1350897375	PRJNA529179	SAMN11258055	622101000	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5576716	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2019-08-27T00:00:00Z	GSM3687405	SRP189463	Mueller	leaf							GSM3687405	leaf	x																																								susceptible																					avirulent P. viticola isolate avrRpv3+																																																					
leaf	auto	SRR8786885	RNA-Seq	75	1860008775	PRJNA529179	SAMN11258052	858960670	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5576719	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2019-08-27T00:00:00Z	GSM3687408	SRP189463	Mueller	leaf							GSM3687408	leaf	m																																								susceptible																					mock control (water)																																																					
leaf	auto	SRR8786886	RNA-Seq	75	1359198900	PRJNA529179	SAMN11258051	629315750	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5576720	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2019-08-27T00:00:00Z	GSM3687409	SRP189463	Regent	leaf							GSM3687409	leaf	x																																								resistant																					avirulent P. viticola isolate avrRpv3+																																																					
leaf	auto	SRR8786887	RNA-Seq	75	1171149825	PRJNA529179	SAMN11258050	540360194	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5576721	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2019-08-27T00:00:00Z	GSM3687410	SRP189463	Regent	leaf							GSM3687410	leaf	x																																								resistant																					avirulent P. viticola isolate avrRpv3+																																																					
